@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {metal,dance}

@DATA
0.111844,0.061245,3.237107,0.161304,0.147785,1.303405,0.002283,0.178345,-21.503735,0.508026,0.839436,0.372838,0.450622,0.171237,-0.144682,0.167018,0.069635,0.321915,0.061424,-0.014623,0.016688,0.009411,0.002084,0.032650,0.005272,0.021754,0.004685,0.022109,0.002421,0.004497,0.010711,0.024906,0.002885,0.014303,0.014975,0.012552,0.059852,0.011333,0.011099,0.146828,0.000595,0.017748,0.283807,0.227951,0.241166,0.193931,0.208213,0.168382,0.213501,0.178068,0.182282,0.195038,0.204567,0.207469,0.153445,0.010756,0.001494,0.020846,0.003409,0.014504,0.003353,0.015724,0.002242,0.003632,0.007548,0.020430,0.001520,0.006524,metal
0.078601,0.077180,3.235019,0.136891,0.152112,0.822846,0.003171,0.129133,-21.191624,0.958707,0.484313,0.184950,0.097389,0.298468,0.034468,0.060777,0.015767,0.207182,0.060588,-0.065195,0.081280,0.006952,0.003095,0.030685,0.013419,0.014124,0.007002,0.053878,0.001091,0.007064,0.013280,0.033997,0.002484,0.020306,0.009098,0.015009,0.044695,0.012793,0.015725,0.128770,0.000836,0.012514,0.324190,0.220343,0.172214,0.173428,0.199235,0.177941,0.182528,0.177316,0.189769,0.185860,0.186484,0.174930,0.145565,0.004862,0.003422,0.018294,0.008960,0.007464,0.004838,0.032634,0.000855,0.005565,0.009551,0.020490,0.001756,0.007374,metal
0.080540,0.083038,3.228898,0.152116,0.162938,0.710238,0.003582,0.125553,-21.113955,1.398243,-0.151455,0.205076,0.067128,0.093328,-0.060497,-0.024528,0.067084,0.141218,-0.011474,-0.017327,-0.021521,0.009302,0.007370,0.027072,0.008383,0.012882,0.006112,0.034256,0.002411,0.008209,0.024893,0.049154,0.004675,0.020892,0.026917,0.022443,0.063642,0.025328,0.014516,0.274306,0.001428,0.061164,0.562068,0.288201,0.354074,0.277548,0.230878,0.209987,0.195372,0.218248,0.212460,0.199823,0.215329,0.173831,0.181023,0.007985,0.008355,0.016506,0.006136,0.008231,0.006063,0.025892,0.002520,0.008092,0.019249,0.025708,0.004693,0.007879,metal
0.080420,0.074917,3.238868,0.135238,0.146124,0.873004,0.003342,0.133114,-21.323903,0.898832,0.659444,0.278026,0.130799,0.399301,-0.000059,0.068078,0.011575,0.263802,-0.021214,-0.035100,0.132728,0.006117,0.003205,0.035788,0.010099,0.018667,0.004289,0.041830,0.001838,0.008762,0.018860,0.037017,0.002206,0.019767,0.009875,0.017528,0.052574,0.012200,0.017677,0.150752,0.001133,0.015763,0.456147,0.284254,0.205317,0.211152,0.201849,0.198514,0.173724,0.191129,0.186059,0.186357,0.186492,0.173034,0.164581,0.004816,0.003043,0.021900,0.009310,0.012926,0.003010,0.026732,0.001899,0.007551,0.012989,0.019008,0.001536,0.006401,metal
0.105773,0.070028,3.134473,0.164206,0.146964,1.186103,0.002360,0.198143,-21.857813,0.911586,0.871143,0.540193,0.608644,0.280931,0.050030,0.023582,0.014207,0.137229,0.137867,0.063751,0.075477,0.006983,0.001561,0.057400,0.006155,0.031191,0.004174,0.065644,0.001768,0.003289,0.009284,0.034352,0.001872,0.027522,0.017469,0.018305,0.085596,0.015305,0.015575,0.202724,0.000698,0.029870,0.399799,0.243421,0.207363,0.214877,0.191900,0.179165,0.174282,0.194576,0.188082,0.161738,0.153915,0.146079,0.163299,0.006507,0.000947,0.027949,0.005569,0.021824,0.003433,0.041117,0.001199,0.002570,0.007691,0.024040,0.001367,0.008059,metal
0.102978,0.075770,3.139238,0.177964,0.164478,1.109177,0.002758,0.199011,-22.038725,1.278229,1.065547,0.496415,0.469759,0.196920,-0.112335,-0.002027,0.085563,0.163115,0.219747,0.119952,0.045755,0.008110,0.001084,0.059814,0.004627,0.028478,0.004564,0.069976,0.000997,0.006092,0.011991,0.038689,0.001502,0.029242,0.024823,0.021136,0.084631,0.020803,0.014416,0.279810,0.001098,0.054618,0.510339,0.280003,0.249400,0.218816,0.258996,0.274990,0.208760,0.164211,0.181269,0.160269,0.200017,0.184282,0.156743,0.009431,0.000633,0.037308,0.004009,0.018726,0.004172,0.044071,0.000764,0.006841,0.008686,0.023971,0.000904,0.009193,metal
0.097757,0.073780,3.166498,0.160585,0.150568,1.059160,0.002874,0.177891,-21.854698,1.113054,0.884461,0.452532,0.374836,0.158810,-0.006172,0.071212,0.092341,0.183199,0.184544,0.081632,0.022181,0.006508,0.001597,0.048949,0.006033,0.036085,0.004253,0.066247,0.001389,0.003696,0.010351,0.035067,0.003249,0.027918,0.026069,0.022123,0.091563,0.017336,0.015194,0.300066,0.001242,0.055530,0.578340,0.302452,0.256988,0.233541,0.303204,0.237597,0.232402,0.196874,0.186146,0.200732,0.194192,0.165754,0.173819,0.005702,0.001155,0.031153,0.005035,0.029628,0.003601,0.045603,0.000947,0.003664,0.007919,0.023207,0.003561,0.010163,metal
0.074015,0.108454,3.199028,0.137090,0.148389,0.844942,0.003496,0.139445,-21.153676,1.094639,0.205728,0.383221,0.217188,0.218976,0.134603,0.175709,0.151544,0.261097,0.019523,-0.168430,0.069153,0.009322,0.005617,0.078281,0.004612,0.012808,0.006748,0.072037,0.002352,0.002190,0.012409,0.051165,0.003588,0.035806,0.016827,0.039057,0.075226,0.016437,0.017360,0.188067,0.001958,0.033861,0.478405,0.234746,0.205859,0.216592,0.235737,0.211197,0.174534,0.191495,0.190471,0.192633,0.174467,0.173771,0.144529,0.008221,0.005137,0.053088,0.003905,0.007824,0.006104,0.055657,0.001966,0.001707,0.010428,0.030896,0.002319,0.014826,metal
0.078093,0.117540,3.218122,0.154961,0.166336,0.682859,0.003411,0.123451,-20.863394,1.110436,-0.237655,0.564234,0.215780,0.209164,0.206913,0.003144,0.150145,0.134505,-0.042743,-0.070233,0.088329,0.009155,0.003646,0.069707,0.009270,0.012969,0.005387,0.065608,0.004500,0.003018,0.008798,0.043396,0.006429,0.031703,0.018803,0.033095,0.065668,0.016856,0.014433,0.186412,0.001369,0.043794,0.392680,0.286132,0.277588,0.250191,0.241661,0.197253,0.204734,0.205591,0.197140,0.190888,0.163866,0.178822,0.165627,0.007432,0.004078,0.048154,0.006953,0.007021,0.004680,0.048213,0.004165,0.002508,0.007066,0.024871,0.007812,0.013154,metal
0.081650,0.110659,3.194305,0.164593,0.173748,0.741291,0.003506,0.127865,-21.023288,1.242449,0.040580,0.441941,0.108596,0.129591,0.143163,0.116157,0.191451,0.067291,0.043012,0.062149,0.141729,0.009639,0.002869,0.100108,0.006987,0.012101,0.006824,0.055996,0.001679,0.003781,0.006806,0.045277,0.005172,0.035207,0.028437,0.039880,0.078693,0.025239,0.014801,0.310602,0.001844,0.069488,0.512795,0.310783,0.287347,0.294455,0.224702,0.194522,0.201780,0.220200,0.214156,0.210187,0.186041,0.214443,0.192588,0.007912,0.003315,0.061305,0.005442,0.007505,0.005734,0.047045,0.001683,0.003497,0.004720,0.027646,0.004538,0.015473,metal
